id,spec_B,e,a,i
a0000263,S,.07758783919681798,2.886862054544482,1.320413314811948
a0000264,S,.1370921324871384,2.796852458191511,10.42520403934171
a0000266,Ch,.1539211400456551,2.807292038259464,13.40304724654355
a0000267,D,.0986522138147663,2.77540680740378,6.003219926697196
a0000269,Ld,.2131728443922237,2.616242978722024,5.477275622550732
a0000272,X,.02697863605457142,2.780253758026546,4.434086163118185
a0000275,C,.1639304494001878,2.769711340507343,4.764282526807768
a0000278,S,.1317907448119724,2.756412754576784,7.81738721867458
a0000281,S,.1326752701693698,2.187358802943897,5.303962169247142
a0000282,B,.08036926981445991,2.340028260775204,9.032814628738034
a0000284,Ch,.2221125571393416,2.35823527582459,8.057572907158914
a0000286,Ch,.02822273062593149,3.195584063813196,17.897698623
a0000288,S,.2053926321153688,2.761785977583854,4.336077435390653
a0000289,A,.2012477617870592,2.875996942247063,6.678776619807365
a0000295,S,.1714309929043198,2.794518041212615,2.708541443791276
a0000301,C,.06749743682731552,2.726095983583118,4.894357646624019
a0000304,Xc,.2216072310276065,2.403604093667033,15.84561910214977
a0000306,S,.1507919025975553,2.357924743593614,7.277327938972727
a0000308,T,.04054222260115872,2.749537086212404,4.360811434829979
a0000310,S,.1133293320209976,2.76176410925153,3.172269763923261
a0000312,Sk,.1595495450230307,2.782119422523156,9.029081057228765
a0000317,Xe,.08507370001969836,2.286650303795566,1.765677582067669
a0000321,S,.04666053697468612,2.885377376855142,2.587287418798432
a0000322,X,.2461546839401674,2.780799917972389,8.054398683284299
a0000327,Sl,.06093912802627172,2.775977583439388,7.14116230153796
a0000331,C,.09729609418709979,3.029221839415804,6.037946873471931
a0000332,Xk,.08788543389183992,2.773338151995108,2.845232563295158
a0000335,B,.1727772424805201,2.474842107199355,5.101117078672384
a0000336,Xk,.09549100265116645,2.251446035709403,5.653639987418186
a0000337,X,.1369461038683614,2.382994911082152,7.853661616462415
a0000338,Xk,.02221723685009999,2.911311154660146,6.0500317713777
a0000339,K,.09775276519231384,3.013079742099457,9.962295709051116
a0000342,Ch,.1292968993852817,2.568153793116992,7.35266210428383
a0000345,Ch,.06113300255994211,2.325583447986549,9.744103861917786
a0000346,S,.1019181403664317,2.7964728803531,8.752262244775366
a0000348,X,.07035155077645479,2.96800734161741,9.758879862484843
a0000349,R,.09158907747193022,2.922609831522937,8.246177556181788
a0000352,Sl,.1496784799470769,2.194086493292069,3.384806194863014
a0000353,S,.3276534978727229,2.73555087034657,5.708192212497034
a0000354,Sl,.1140528158009354,2.798632548977549,18.39928829671905
a0000355,S,.1061069619677271,2.537376746428855,4.282876867467271
a0000358,Ch,.1529207553834571,2.876745826533328,3.553735842985593
a0000359,X,.1574331992195935,2.727222198849303,6.771862544602116
a0000360,C,.1759945925936126,3.007699198571342,11.69433866088308
a0000363,X,.07102306588714107,2.747942056568738,5.947001159862801
a0000365,C,.1572807674508552,2.801577638278642,12.7912204342407
a0000366,Ch,.05600605552023506,3.145751653873994,10.57668673310938
a0000371,S,.06474887615567188,2.727509923336965,7.401166576111063
a0000372,B,.2589917578032354,3.150140553907852,23.82595626988699
a0000374,S,.07966818506881009,2.780097673394929,8.993765468497465
a0000375,Xc,.1053797321609872,3.127897914973959,15.92968633368769
a0000376,Sl,.1721038706203191,2.28877272752644,5.432401057980069
